"pair_label","gene_x","gene_y","n_species","n_both","uncorrected_logOR","uncorrected_p","phylo_alpha","phylo_logOR","phylo_se","phylo_z","phylo_p","phylo_ci_low","phylo_ci_high","converged"
"P x Metal (group)","P-acquisition","Metal-handling",4177,3623,1.5990297123999,5.31265617441214e-17,3.12184474885761,0.938359403897415,0.220690215176044,4.25193025956718,2.11935865206631e-05,0.505806582152368,1.37091222564246,TRUE
"N x Metal (group)","N-fixation","Metal-handling",4177,420,0.936769661810462,0.0107547699498786,1.55617572418569,0.986150158924566,0.25211301094246,3.91154012733455,9.17094147440695e-05,0.492008657477346,1.48029166037179,TRUE
"Phz-operon x Metal (group)","Phz-operon","Metal-handling",4177,27,Inf,0.624205221089662,2.63225771070035,13.2785877362993,521.250656576704,0.0254744767584677,0.979676506475343,-1008.37269915404,1034.92987462664,TRUE
"P x N (group)","P-acquisition","N-fixation",4177,425,3.36116216658085,1.7422295658535e-19,2.7839105506971,3.13946698148301,0.790655310688213,3.97071510055413,7.16572272595088e-05,1.58978257253411,4.68915139043191,TRUE
"Phz-operon x P (group)","Phz-operon","P-acquisition",4177,27,Inf,0.108633722915953,0.43717588732897,13.3726827769034,173.459408255692,0.077094018199296,0.938548751624938,-326.607757404252,353.353122958059,TRUE
"N x Phz-operon (group)","N-fixation","Phz-operon",4177,0,-Inf,0.104801882255451,0.000218672392284724,-2.73331437976261,0.622282526010398,-4.39240098430297,1.12105690991038e-05,-3.95298813074299,-1.51364062878223,TRUE
"phzG x corA","phzG","corA",4177,53,3.36255387021322,2.94363144443632e-09,2.29461363391772,3.33529878190822,0.702308655354585,4.74904980378504,2.04374612353605e-06,1.95877381741324,4.71182374640321,TRUE
"phzD x corA","phzD","corA",4177,10,Inf,0.0183486919673914,2.40022429384236,12.9310215739057,190.212335234004,0.0679820346982105,0.945799935429143,-359.885155484742,385.747198632554,TRUE
"phzA x corA","phzA","corA",4177,3,Inf,0.556064918943212,2.42369526499448,11.9285642935552,210.201313002198,0.0567482863127049,0.954745709046715,-400.066009190753,423.923137777864,TRUE
"phoD x HMA","phoD","HMA",4177,65,0.988697249670006,1.42137376594816e-08,5.6183790487663,0.914469392613643,0.150904825547899,6.05990821892824,1.36199242244466e-09,0.618695934539762,1.21024285068752,TRUE
"phzB x corA","phzB","corA",4177,16,Inf,0.00225772307985695,2.3813370039262,13.9331495156663,248.509306587016,0.0560669123704936,0.955288502562699,-473.145091394885,501.011390426218,TRUE
"phoD x feoB","phoD","feoB",4177,49,0.360809880260621,0.0462437870968416,3.97247481123151,0.508607690439921,0.1371667335037,3.70795219400775,0.000208942088090506,0.239760892772669,0.777454488107174,TRUE
"nifH x HMA","nifH","HMA",4177,94,0.20770108536292,0.101269060935816,5.02858286887175,0.396154990748992,0.116783967976801,3.39220354995719,0.000693329128298313,0.167258413514461,0.625051567983523,TRUE
"pstC x feoB","pstC","feoB",4177,372,-1.40044969643149,5.68100108584707e-79,3.15700165761269,-0.880209725589631,0.0949439550311738,-9.2708348340937,1.84694585777717e-20,-1.06629987745073,-0.694119573728531,TRUE
"pstS x feoB","pstS","feoB",4177,332,-0.926830979972349,1.27128617930936e-35,3.25945562915417,-0.549271187132556,0.0810725191002453,-6.77506007249371,1.24354578634094e-11,-0.708173324569037,-0.390369049696075,TRUE
"pstC x HMA","pstC","HMA",4177,379,-1.04338067390802,6.02866721981082e-42,5.11055062321918,-0.748869915645589,0.0928303980196688,-8.06707642777659,7.2001480210197e-16,-0.93081749576414,-0.566922335527038,TRUE
"phzF x feoB","phzF","feoB",4177,500,-0.690265780107281,7.48217972757239e-21,3.34372628900443,-0.457000258228533,0.0763214900207899,-5.98783197372125,2.12656583206475e-09,-0.606590378669282,-0.307410137787785,TRUE
