siderophore_type,n_species,n_both,OR,phi,fisher_p
enterobactin,264,74,1.1996384089995982,0.019105381508510995,0.21122210557513052
pyochelin,48,9,0.7006012855069459,-0.014291794158776568,0.4022909688008872
pyoverdine,105,39,1.8289263829430034,0.044336809251520094,0.004050985164993008
hydroxamate,191,59,1.3816956013569373,0.03000754774713115,0.04849349237926595
