metric,value
n_total,4540
n_phytase,1122
n_siderophore,437
n_both,124
n_phytase_only,998
n_siderophore_only,313
n_neither,3105
OR,1.2325609685825325
phi,0.027703699751687818
jaccard,0.08641114982578398
fisher_p,0.0703806627723303
perm_z,1.9286278814119306
perm_p,0.038
