pair,phylum,n_species,n11,n10,n01,n00,log_OR,se,ci_lo,ci_hi,fisher_p
N x Metal,p__Gemmatimonadota,102,14,0,86,2,-0.1766,1.575,-3.2635,2.9104,1.0
N x Metal,p__Halobacteriota,259,254,0,5,0,3.8346,2.0459,-0.1754,7.8445,1.0
N x Metal,p__Marinisomatota,90,10,0,60,20,1.9623,1.4699,-0.9187,4.8433,0.10915693163532211
N x Metal,p__Methanobacteriota,74,74,0,0,0,5.0039,2.4522,0.1976,9.8103,1.0
N x Metal,p__Micrarchaeota,57,26,0,31,0,-0.1728,2.0173,-4.1267,3.7811,1.0
N x Metal,p__Myxococcota,157,49,0,103,5,1.6603,1.4872,-1.2546,4.5752,0.3256157178732989
N x Metal,p__Nanoarchaeota,135,106,2,21,6,2.7175,0.8507,1.0501,4.3849,0.0008164960885166515
N x Metal,p__Nitrospirota,115,47,0,68,0,-0.3661,2.0089,-4.3035,3.5713,1.0
N x Metal,p__Omnitrophota,80,7,5,54,14,-1.0135,0.6579,-2.3029,0.276,0.14381277370781181
N x Metal,p__Patescibacteria,981,15,2,829,135,0.2,0.7585,-1.2866,1.6866,1.0
N x Metal,p__Planctomycetota,348,58,3,255,32,0.8863,0.6211,-0.331,2.1036,0.16567949127519038
N x Metal,p__Pseudomonadota,7456,1308,51,5368,729,1.2479,0.1481,0.9576,1.5381,6.734450654878215e-23
N x Metal,p__Spirochaetota,296,97,0,185,14,2.7241,1.4438,-0.1058,5.554,0.0061256050336028055
N x Metal,p__Synergistota,58,28,1,28,1,0.0,1.4392,-2.8209,2.8209,1.0
N x Metal,p__Thermoplasmatota,294,129,0,165,0,-0.2453,2.0034,-4.172,3.6814,1.0
N x Metal,p__Thermoproteota,233,111,0,122,0,-0.0941,2.0043,-4.0225,3.8343,1.0
N x Metal,p__Thermotogota,51,5,0,42,4,0.1525,1.5581,-2.9013,3.2063,1.0
N x Metal,p__Verrucomicrobiota,553,72,9,394,78,0.4598,0.3746,-0.2745,1.1941,0.25023902274578413
Phz x Metal,p__Acidobacteriota,283,0,0,269,14,-2.9224,2.0181,-6.8779,1.033,1.0
Phz x Metal,p__Actinomycetota,3164,36,0,3000,128,1.1399,1.4267,-1.6565,3.9362,0.40082024872387734
Phz x Metal,p__Bacillota,2146,0,0,1941,205,-2.2458,2.0013,-6.1684,1.6769,1.0
Phz x Metal,p__Bacillota_A,3917,0,0,3842,75,-3.9297,2.0034,-7.8564,-0.0031,1.0
Phz x Metal,p__Bacillota_B,101,0,0,101,0,-5.3132,2.4515,-10.1181,-0.5083,1.0
Phz x Metal,p__Bacillota_C,235,0,0,232,3,-4.1961,2.0712,-8.2557,-0.1365,1.0
Phz x Metal,p__Bacteroidota,3629,0,0,3153,476,-1.8898,2.0006,-5.811,2.0314,1.0
Phz x Metal,p__Bdellovibrionota,71,0,0,68,3,-2.9741,2.0737,-7.0386,1.0904,1.0
Phz x Metal,p__Campylobacterota,271,0,0,241,30,-2.0691,2.0092,-6.0072,1.8689,1.0
Phz x Metal,p__Chloroflexota,457,0,0,434,23,-2.9172,2.0112,-6.8591,1.0247,1.0
Phz x Metal,p__Cyanobacteriota,469,0,0,345,124,-1.0207,2.0027,-4.946,2.9047,1.0
Phz x Metal,p__Deinococcota,52,0,0,52,0,-4.654,2.4534,-9.4626,0.1547,1.0
Phz x Metal,p__Desulfobacterota,319,0,0,314,5,-4.0462,2.0457,-8.0559,-0.0366,1.0
Phz x Metal,p__Desulfobacterota_F,68,0,0,68,0,-4.92,2.4525,-9.7268,-0.1131,1.0
Phz x Metal,p__Elusimicrobiota,70,0,0,59,11,-1.6436,2.0258,-5.6141,2.3269,1.0
Phz x Metal,p__Fusobacteriota,59,0,0,54,5,-2.2935,2.0494,-6.3103,1.7234,1.0
Phz x Metal,p__Gemmatimonadota,102,0,0,100,2,-3.6939,2.1,-7.8098,0.4221,1.0
Phz x Metal,p__Halobacteriota,259,0,0,259,0,-6.2519,2.4503,-11.0544,-1.4494,1.0
Phz x Metal,p__Marinisomatota,90,0,0,70,20,-1.2352,2.0157,-5.1859,2.7155,1.0
Phz x Metal,p__Methanobacteriota,74,0,0,74,0,-5.0039,2.4522,-9.8103,-0.1976,1.0
Phz x Metal,p__Micrarchaeota,57,0,0,57,0,-4.7449,2.453,-9.5529,0.063,1.0
Phz x Metal,p__Myxococcota,157,0,0,152,5,-3.3224,2.0466,-7.3337,0.6888,1.0
Phz x Metal,p__Nanoarchaeota,135,0,0,127,8,-2.7081,2.0311,-6.6891,1.273,1.0
Phz x Metal,p__Nitrospirota,115,0,0,115,0,-5.4424,2.4513,-10.2469,-0.638,1.0
Phz x Metal,p__Omnitrophota,80,0,0,61,19,-1.1486,2.0168,-5.1016,2.8043,1.0
Phz x Metal,p__Patescibacteria,981,0,0,844,137,-1.8151,2.0021,-5.7393,2.109,1.0
Phz x Metal,p__Planctomycetota,348,0,0,313,35,-2.1783,2.0078,-6.1136,1.7571,1.0
Phz x Metal,p__Pseudomonadota,7456,27,0,6649,780,1.865,1.4275,-0.933,4.6629,0.10658220872817686
Phz x Metal,p__Spirochaetota,296,0,0,282,14,-2.9695,2.018,-6.9249,0.9858,1.0
Phz x Metal,p__Synergistota,58,0,0,56,2,-3.1179,2.1018,-7.2375,1.0016,1.0
Phz x Metal,p__Thermoplasmatota,294,0,0,294,0,-6.3784,2.4502,-11.1808,-1.5761,1.0
Phz x Metal,p__Thermoproteota,233,0,0,233,0,-6.1463,2.4504,-10.949,-1.3436,1.0
Phz x Metal,p__Thermotogota,51,0,0,47,4,-2.3567,2.0599,-6.3941,1.6808,1.0
Phz x Metal,p__Verrucomicrobiota,553,0,0,466,87,-1.6736,2.0034,-5.6003,2.253,1.0
