species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Acetobacterium_dehalogenans--RS_GCF_000472665.1,N_genes,2,0,3,0,,1.0
s__Cereibacter_A_azotoformans--GB_GCA_017599285.1,N_genes,2,1,1,3,6.0,0.48571428571428565
s__Cohaesibacter_intestini--RS_GCF_003324485.1,N_genes,2,0,2,3,inf,0.4285714285714286
s__Draconibacterium_sediminis--RS_GCF_000949475.1,N_genes,2,0,1,2,inf,0.4000000000000001
s__Cognatazoarcus_sp024235635--GB_GCA_024235635.1,N_genes,1,1,2,1,0.5,1.0
s__Nostoc_indistinguendum--GB_GCA_019359215.1,N_genes,2,0,3,1,inf,1.0
s__UBA2487_sp021790625--GB_GCA_021790625.1,N_genes,1,1,1,2,2.0,1.0
s__Paenibacillus_sabinae--RS_GCF_000612505.1,N_genes,3,1,3,0,0.0,1.0
s__Methylocystis_silviterrae--RS_GCF_013350005.1,N_genes,2,0,4,0,,1.0
s__Sphingobium_sp020446425--GB_GCA_020446425.1,N_genes,2,0,1,1,inf,1.0
s__Methanoregula_sp003154335--GB_GCA_003154335.1,N_genes,0,2,0,12,,1.0
s__Mesorhizobium_australicum--RS_GCF_000230995.2,N_genes,0,2,3,1,0.0,0.4000000000000001
s__Paenibacillus_sinensis--RS_GCF_019904155.1,N_genes,3,1,3,0,0.0,1.0
s__Acidulodesulfobacterium_A_acidiphilum--GB_GCA_008534395.1,N_genes,2,0,2,0,,1.0
s__Acetobacterium_tundrae--RS_GCF_008086615.1,N_genes,4,0,2,0,,1.0
s__Burkholderia_ubonensis_B--RS_GCF_001718695.1,N_genes,0,2,2,4,0.0,1.0
s__UBA2383_sp024234995--GB_GCA_024234995.1,N_genes,2,0,2,0,,1.0
s__Paraburkholderia_sabiae--RS_GCF_904848645.1,N_genes,0,2,2,0,0.0,0.3333333333333333
s__Methylovulum_miyakonense--RS_GCF_000384075.1,N_genes,1,1,3,4,1.333,1.0
s__Methylobacter_A_tundripaludum--RS_GCF_000190755.2,N_genes,2,0,4,7,inf,0.1923076923076923
s__Paenibacillus_maysiensis--RS_GCF_000520815.1,N_genes,0,2,4,1,0.0,0.14285714285714288
s__Nodularia_sp015207155--GB_GCA_015207155.1,N_genes,2,0,2,2,inf,0.4666666666666667
s__Acididesulfobacter_sp021845685--GB_GCA_021845685.1,N_genes,2,0,0,3,inf,0.10000000000000002
s__Rubrivivax_gelatinosus_A--RS_GCF_000284255.1,N_genes,2,0,3,4,inf,0.4444444444444444
s__Blastopirellula_sp020966755--RS_GCF_020966755.1,N_genes,2,0,2,0,,1.0
s__RumEn-M2_sp001421175--GB_GCA_001421175.1,N_genes,1,1,7,2,0.286,0.49090909090909096
s__Sodalinema_sp004299065--GB_GCA_004299065.1,N_genes,1,1,3,0,0.0,0.4000000000000001
s__Geosporobacter_ferrireducens--RS_GCF_001750685.1,N_genes,2,0,2,0,,1.0
s__Halarcobacter_anaerophilus--RS_GCF_006459125.1,N_genes,2,0,2,0,,1.0
s__Bog-1181_sp003159495--GB_GCA_003159495.1,N_genes,2,1,2,1,1.0,1.0
s__Desulfamplus_sp015232465--GB_GCA_015232465.1,N_genes,0,2,2,1,0.0,0.4000000000000001
s__Frankia_alni--RS_GCF_000058485.1,N_genes,2,0,3,2,inf,1.0
s__Bradyrhizobium_centrosematis--RS_GCF_015291745.1,N_genes,0,3,3,0,0.0,0.10000000000000002
s__JAKAEG01_sp021819985--GB_GCA_021819985.1,N_genes,1,1,0,7,inf,0.2222222222222222
s__Methylocystis_sp015709525--RS_GCF_015709525.1,N_genes,1,1,6,0,0.0,0.25
s__Paenibacillus_ottowii--RS_GCF_006874425.1,N_genes,0,2,4,0,0.0,0.06666666666666667
s__Acidithiobacillus_ferrooxidans_C--RS_GCF_018854495.1,N_genes,0,2,5,1,0.0,0.10714285714285714
s__RXIV01_sp020846135--GB_GCA_020846135.1,N_genes,2,0,4,0,,1.0
s__JAFGRW01_sp016934935--GB_GCA_016934935.1,N_genes,2,0,2,0,,1.0
s__Draconibacterium_sp011799805--RS_GCF_011799805.1,N_genes,2,0,2,0,,1.0
s__UBA11358_sp021780905--GB_GCA_021780905.1,N_genes,0,2,0,7,,1.0
s__Paenibacillus_brasilensis--RS_GCF_009363115.1,N_genes,2,0,3,0,,1.0
s__Prosthecochloris_ethylica--RS_GCF_003344365.2,N_genes,1,1,2,0,0.0,1.0
s__Paenibacillus_polymyxa_C--RS_GCF_000237325.1,N_genes,0,2,3,0,0.0,0.10000000000000002
s__Methylophilus_sp002414145--GB_GCA_002414145.1,N_genes,0,2,1,4,0.0,1.0
s__Rhodoblastus_sphagnicola--RS_GCF_002937075.1,N_genes,5,0,2,0,,1.0
s__Methanosarcina_sp002496565--GB_GCA_002496565.1,N_genes,1,1,9,2,0.222,0.42307692307692313
s__SKWO01_sp007128895--GB_GCA_007128895.1,N_genes,0,3,2,0,0.0,0.10000000000000002
s__Desulfosporosinus_acididurans--RS_GCF_001029285.1,N_genes,2,0,1,1,inf,1.0
s__Leptospirillum_A_sp021826965--GB_GCA_021826965.1,N_genes,1,1,0,2,inf,1.0
s__Fen-1064_sp003153955--GB_GCA_003153955.1,N_genes,0,2,0,4,,1.0
s__C00003106_sp001751015--GB_GCA_001751015.1,N_genes,0,2,0,3,,1.0
s__JAJYCY01_sp021790335--GB_GCA_021790335.1,N_genes,0,2,0,4,,1.0
s__Clostridium_chromiireducens--RS_GCF_002029255.1,N_genes,4,3,3,2,0.889,1.0
s__JAMCQB01_sp023382175--GB_GCA_023382175.1,N_genes,1,1,5,3,0.6,1.0
s__Bradyrhizobium_sp022012435--RS_GCF_022012435.1,N_genes,2,0,1,1,inf,1.0
s__PWHV01_sp003557905--GB_GCA_003557905.1,N_genes,1,1,4,5,1.25,1.0
s__Salipiger_sp001687105--RS_GCF_001687105.1,N_genes,2,0,1,4,inf,0.14285714285714288
s__Palsa-288_sp003162875--GB_GCA_003162875.1,N_genes,0,3,0,7,,1.0
s__Clostridium_saccharoperbutylacetonicum--RS_GCF_000340885.1,N_genes,2,4,2,1,0.25,0.5238095238095238
s__Methylocaldum_sp002005105--RS_GCF_002005105.1,N_genes,2,0,2,1,inf,1.0
s__VAUL01_sp005774545--GB_GCA_005774545.1,N_genes,2,0,3,0,,1.0
s__Rhodopseudomonas_palustris_F--RS_GCF_013415845.1,N_genes,5,0,3,2,inf,0.4444444444444445
s__JABEUN01_sp013044415--GB_GCA_013044415.1,N_genes,0,2,1,1,0.0,1.0
s__Geobacter_metallireducens--RS_GCF_000012925.1,N_genes,2,0,3,1,inf,1.0
s__Lacrimispora_sphenoides_A--RS_GCF_900105215.1,N_genes,0,4,1,4,0.0,1.0
s__Bradyrhizobium_sp013240495--RS_GCF_024585265.1,N_genes,0,2,4,0,0.0,0.06666666666666667
s__Desulfolutivibrio_sulfoxidireducens--RS_GCF_013376475.1,N_genes,2,0,3,0,,1.0
s__Methanobacterium_B_sp003158115--GB_GCA_003158115.1,N_genes,1,3,2,7,1.167,1.0
s__SLCH01_sp007125915--GB_GCA_007125915.1,N_genes,0,2,1,5,0.0,1.0
s__Aneurinibacillus_danicus--RS_GCF_007991215.1,N_genes,0,2,3,1,0.0,0.4000000000000001
s__Anaerocolumna_sp002434335--GB_GCA_002434335.1,N_genes,0,5,2,3,0.0,0.4444444444444444
s__CAJBEZ01_sp023474025--GB_GCA_023474025.1,N_genes,0,2,1,3,0.0,1.0
s__Azoarcus_C_communis_A--RS_GCF_003111645.1,N_genes,0,2,2,4,0.0,1.0
s__Azospirillum_lipoferum--RS_GCF_024170005.1,N_genes,2,0,3,0,,1.0
s__Geomonas_edaphica--RS_GCF_004917075.1,N_genes,1,1,4,0,0.0,0.3333333333333333
s__Fen-1137_sp003158395--GB_GCA_003158395.1,N_genes,1,2,1,5,2.5,1.0
s__Geothrix_sp003158505--GB_GCA_003158505.1,N_genes,1,1,0,3,inf,0.4000000000000001
s__Paraburkholderia_unamae--RS_GCF_003268775.1,N_genes,2,0,3,0,,1.0
s__Methanoculleus_sp002508705--GB_GCA_002508705.1,N_genes,2,2,9,11,1.222,1.0
